model,MAE,RMSE,R2
xgb,0.10683669524263534,0.2634377195340311,0.9992949957107797
catboost,0.1351066826007638,0.2453062844137397,0.999388701695042
svr,0.15425283661544234,0.2968513500615842,0.9991048127260304
lgbm,0.16920774923935472,0.30563033611881985,0.9990510818338232
gpr,0.20008025630408502,0.35221008565667505,0.998739800164031
dt,0.20056717673563235,0.3738855900543825,0.9985799184094856
gbrt,0.24241486791454273,0.3502406987920313,0.9987538536084882
histgbr,0.3610287173287091,0.49864445575099003,0.9974740902338266
rf,0.8085472078695858,1.0213002779339975,0.9894039806435729
adaboost,1.5387989294012325,1.8350230845209523,0.9657926913042031
knn,2.106026635475885,2.67197009680387,0.9274731142325736
lasso,2.2454057623601282,3.0747393710113364,0.9039599316303345
elasticnet,2.245959610473435,3.0752630536360948,0.9039272141918526
ridge,2.247420954641308,3.0773461401475806,0.9037970167414697
